"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"25-34 years"	"25-34"	"Female"	"F"	15	308250	4.9 (Unreliable)
	"Alabama"	"01"	"1999"	"1999"	"25-34 years"	"25-34"	"Male"	"M"	27	300073	9.0
	"Alabama"	"01"	"1999"	"1999"	"35-44 years"	"35-44"	"Female"	"F"	22	351301	6.3
	"Alabama"	"01"	"1999"	"1999"	"35-44 years"	"35-44"	"Male"	"M"	29	335631	8.6
	"Alabama"	"01"	"1999"	"1999"	"45-54 years"	"45-54"	"Female"	"F"	19	301328	6.3 (Unreliable)
	"Alabama"	"01"	"1999"	"1999"	"45-54 years"	"45-54"	"Male"	"M"	19	284323	6.7 (Unreliable)
	"Alabama"	"01"	"2000"	"2000"	"25-34 years"	"25-34"	"Female"	"F"	11	304983	3.6 (Unreliable)
	"Alabama"	"01"	"2000"	"2000"	"25-34 years"	"25-34"	"Male"	"M"	28	297795	9.4
	"Alabama"	"01"	"2000"	"2000"	"35-44 years"	"35-44"	"Female"	"F"	37	350419	10.6
	"Alabama"	"01"	"2000"	"2000"	"35-44 years"	"35-44"	"Male"	"M"	37	334716	11.1
	"Alabama"	"01"	"2000"	"2000"	"45-54 years"	"45-54"	"Female"	"F"	18	308255	5.8 (Unreliable)
	"Alabama"	"01"	"2000"	"2000"	"45-54 years"	"45-54"	"Male"	"M"	17	291612	5.8 (Unreliable)
	"Alabama"	"01"	"2001"	"2001"	"20-24 years"	"20-24"	"Male"	"M"	13	157924	8.2 (Unreliable)
	"Alabama"	"01"	"2001"	"2001"	"25-34 years"	"25-34"	"Female"	"F"	14	298199	4.7 (Unreliable)
	"Alabama"	"01"	"2001"	"2001"	"25-34 years"	"25-34"	"Male"	"M"	21	290750	7.2
	"Alabama"	"01"	"2001"	"2001"	"35-44 years"	"35-44"	"Female"	"F"	37	346986	10.7
	"Alabama"	"01"	"2001"	"2001"	"35-44 years"	"35-44"	"Male"	"M"	38	331017	11.5
	"Alabama"	"01"	"2001"	"2001"	"45-54 years"	"45-54"	"Female"	"F"	18	320071	5.6 (Unreliable)
	"Alabama"	"01"	"2001"	"2001"	"45-54 years"	"45-54"	"Male"	"M"	33	303384	10.9
	"Alabama"	"01"	"2002"	"2002"	"20-24 years"	"20-24"	"Male"	"M"	14	160193	8.7 (Unreliable)
	"Alabama"	"01"	"2002"	"2002"	"25-34 years"	"25-34"	"Female"	"F"	15	295326	5.1 (Unreliable)
	"Alabama"	"01"	"2002"	"2002"	"25-34 years"	"25-34"	"Male"	"M"	28	288345	9.7
	"Alabama"	"01"	"2002"	"2002"	"35-44 years"	"35-44"	"Female"	"F"	24	340884	7.0
	"Alabama"	"01"	"2002"	"2002"	"35-44 years"	"35-44"	"Male"	"M"	38	325253	11.7
	"Alabama"	"01"	"2002"	"2002"	"45-54 years"	"45-54"	"Female"	"F"	30	323870	9.3
	"Alabama"	"01"	"2002"	"2002"	"45-54 years"	"45-54"	"Male"	"M"	18	306036	5.9 (Unreliable)
	"Alabama"	"01"	"2002"	"2002"	"55-64 years"	"55-64"	"Female"	"F"	14	234530	6.0 (Unreliable)
	"Alabama"	"01"	"2003"	"2003"	"20-24 years"	"20-24"	"Male"	"M"	15	163064	9.2 (Unreliable)
	"Alabama"	"01"	"2003"	"2003"	"25-34 years"	"25-34"	"Female"	"F"	14	295047	4.7 (Unreliable)
	"Alabama"	"01"	"2003"	"2003"	"25-34 years"	"25-34"	"Male"	"M"	18	288062	6.2 (Unreliable)
	"Alabama"	"01"	"2003"	"2003"	"35-44 years"	"35-44"	"Female"	"F"	23	335121	6.9
	"Alabama"	"01"	"2003"	"2003"	"35-44 years"	"35-44"	"Male"	"M"	40	320230	12.5
	"Alabama"	"01"	"2003"	"2003"	"45-54 years"	"45-54"	"Female"	"F"	23	328769	7.0
	"Alabama"	"01"	"2003"	"2003"	"45-54 years"	"45-54"	"Male"	"M"	20	310588	6.4
	"Alabama"	"01"	"2003"	"2003"	"55-64 years"	"55-64"	"Male"	"M"	11	222255	4.9 (Unreliable)
	"Alabama"	"01"	"2004"	"2004"	"20-24 years"	"20-24"	"Male"	"M"	32	163013	19.6
	"Alabama"	"01"	"2004"	"2004"	"25-34 years"	"25-34"	"Female"	"F"	16	296051	5.4 (Unreliable)
	"Alabama"	"01"	"2004"	"2004"	"25-34 years"	"25-34"	"Male"	"M"	27	287709	9.4
	"Alabama"	"01"	"2004"	"2004"	"35-44 years"	"35-44"	"Female"	"F"	35	330674	10.6
	"Alabama"	"01"	"2004"	"2004"	"35-44 years"	"35-44"	"Male"	"M"	49	317137	15.5
	"Alabama"	"01"	"2004"	"2004"	"45-54 years"	"45-54"	"Female"	"F"	30	334010	9.0
	"Alabama"	"01"	"2004"	"2004"	"45-54 years"	"45-54"	"Male"	"M"	42	314363	13.4
	"Alabama"	"01"	"2004"	"2004"	"55-64 years"	"55-64"	"Female"	"F"	12	253296	4.7 (Unreliable)
	"Alabama"	"01"	"2005"	"2005"	"20-24 years"	"20-24"	"Male"	"M"	25	163055	15.3
