"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"1999"	"1999"	169	4430141	3.8	3.8
	"Alabama"	"01"	"2000"	"2000"	197	4447100	4.4	4.5
	"Alabama"	"01"	"2001"	"2001"	216	4467634	4.8	4.9
	"Alabama"	"01"	"2002"	"2002"	211	4480089	4.7	4.8
	"Alabama"	"01"	"2003"	"2003"	197	4503491	4.4	4.4
	"Alabama"	"01"	"2004"	"2004"	283	4530729	6.2	6.3
	"Alabama"	"01"	"2005"	"2005"	283	4569805	6.2	6.3
	"Alabama"	"01"	"2006"	"2006"	398	4628981	8.6	8.7
	"Alabama"	"01"	"2007"	"2007"	511	4672840	10.9	11.1
	"Alabama"	"01"	"2008"	"2008"	607	4718206	12.9	13.0
	"Alabama"	"01"	"2009"	"2009"	630	4757938	13.2	13.6
	"Alabama"	"01"	"2010"	"2010"	547	4779736	11.4	11.8
	"Alabama"	"01"	"2011"	"2011"	552	4801108	11.5	11.8
	"Alabama"	"01"	"2012"	"2012"	562	4816089	11.7	12.0
	"Alabama"	"01"	"2013"	"2013"	598	4830533	12.4	12.7
	"Alabama"	"01"	"2014"	"2014"	723	4846411	14.9	15.2
	"Alabama"	"01"	"2015"	"2015"	736	4858979	15.1	15.6
	"Alaska"	"02"	"1999"	"1999"	46	624779	7.4	7.5
	"Alaska"	"02"	"2000"	"2000"	48	626932	7.7	7.1
	"Alaska"	"02"	"2001"	"2001"	62	633714	9.8	9.4
	"Alaska"	"02"	"2002"	"2002"	84	642337	13.1	12.2
	"Alaska"	"02"	"2003"	"2003"	83	648414	12.8	12.7
	"Alaska"	"02"	"2004"	"2004"	86	659286	13.0	12.7
	"Alaska"	"02"	"2005"	"2005"	79	666946	11.8	11.4
	"Alaska"	"02"	"2006"	"2006"	76	675302	11.3	11.1
	"Alaska"	"02"	"2007"	"2007"	72	680300	10.6	10.1
	"Alaska"	"02"	"2008"	"2008"	127	687455	18.5	18.1
	"Alaska"	"02"	"2009"	"2009"	131	698895	18.7	17.8
	"Alaska"	"02"	"2010"	"2010"	83	710231	11.7	11.6
	"Alaska"	"02"	"2011"	"2011"	107	722720	14.8	14.3
	"Alaska"	"02"	"2012"	"2012"	129	731228	17.6	17.5
	"Alaska"	"02"	"2013"	"2013"	105	737442	14.2	14.3
	"Alaska"	"02"	"2014"	"2014"	124	737046	16.8	16.8
	"Alaska"	"02"	"2015"	"2015"	122	738432	16.5	16.0
