"Notes"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Cut/Pierce"	"GRINJ-001"	"1999"	"1999"	2369	279040168	0.8	0.8
	"Cut/Pierce"	"GRINJ-001"	"2000"	"2000"	2288	281421906	0.8	0.8
	"Cut/Pierce"	"GRINJ-001"	"2001"	"2001"	2532	284968955	0.9	0.9
	"Cut/Pierce"	"GRINJ-001"	"2002"	"2002"	2762	287625193	1.0	1.0
	"Cut/Pierce"	"GRINJ-001"	"2003"	"2003"	2742	290107933	0.9	0.9
	"Cut/Pierce"	"GRINJ-001"	"2004"	"2004"	2799	292805298	1.0	1.0
	"Cut/Pierce"	"GRINJ-001"	"2005"	"2005"	2795	295516599	0.9	0.9
	"Cut/Pierce"	"GRINJ-001"	"2006"	"2006"	2831	298379912	0.9	0.9
	"Cut/Pierce"	"GRINJ-001"	"2007"	"2007"	2734	301231207	0.9	0.9
	"Cut/Pierce"	"GRINJ-001"	"2008"	"2008"	2808	304093966	0.9	0.9
	"Cut/Pierce"	"GRINJ-001"	"2009"	"2009"	2688	306771529	0.9	0.9
	"Cut/Pierce"	"GRINJ-001"	"2010"	"2010"	2598	308745538	0.8	0.8
	"Cut/Pierce"	"GRINJ-001"	"2011"	"2011"	2587	311591917	0.8	0.8
	"Cut/Pierce"	"GRINJ-001"	"2012"	"2012"	2648	313914040	0.8	0.8
	"Cut/Pierce"	"GRINJ-001"	"2013"	"2013"	2576	316128839	0.8	0.8
	"Cut/Pierce"	"GRINJ-001"	"2014"	"2014"	2609	318857056	0.8	0.8
	"Cut/Pierce"	"GRINJ-001"	"2015"	"2015"	2531	321418820	0.8	0.8
	"Drowning"	"GRINJ-002"	"1999"	"1999"	4153	279040168	1.5	1.5
	"Drowning"	"GRINJ-002"	"2000"	"2000"	4073	281421906	1.4	1.4
	"Drowning"	"GRINJ-002"	"2001"	"2001"	3923	284968955	1.4	1.4
	"Drowning"	"GRINJ-002"	"2002"	"2002"	4146	287625193	1.4	1.4
	"Drowning"	"GRINJ-002"	"2003"	"2003"	3919	290107933	1.4	1.3
	"Drowning"	"GRINJ-002"	"2004"	"2004"	3952	292805298	1.3	1.3
	"Drowning"	"GRINJ-002"	"2005"	"2005"	4248	295516599	1.4	1.4
	"Drowning"	"GRINJ-002"	"2006"	"2006"	4279	298379912	1.4	1.4
	"Drowning"	"GRINJ-002"	"2007"	"2007"	4086	301231207	1.4	1.3
	"Drowning"	"GRINJ-002"	"2008"	"2008"	4251	304093966	1.4	1.4
	"Drowning"	"GRINJ-002"	"2009"	"2009"	4211	306771529	1.4	1.4
	"Drowning"	"GRINJ-002"	"2010"	"2010"	4521	308745538	1.5	1.4
	"Drowning"	"GRINJ-002"	"2011"	"2011"	4245	311591917	1.4	1.4
	"Drowning"	"GRINJ-002"	"2012"	"2012"	4308	313914040	1.4	1.4
	"Drowning"	"GRINJ-002"	"2013"	"2013"	4056	316128839	1.3	1.3
	"Drowning"	"GRINJ-002"	"2014"	"2014"	3995	318857056	1.3	1.2
	"Drowning"	"GRINJ-002"	"2015"	"2015"	4425	321418820	1.4	1.4
	"Fall"	"GRINJ-003"	"1999"	"1999"	13931	279040168	5.0	5.1
	"Fall"	"GRINJ-003"	"2000"	"2000"	14002	281421906	5.0	5.1
	"Fall"	"GRINJ-003"	"2001"	"2001"	15764	284968955	5.5	5.6
	"Fall"	"GRINJ-003"	"2002"	"2002"	17116	287625193	6.0	6.0
	"Fall"	"GRINJ-003"	"2003"	"2003"	18044	290107933	6.2	6.2
	"Fall"	"GRINJ-003"	"2004"	"2004"	19571	292805298	6.7	6.7
	"Fall"	"GRINJ-003"	"2005"	"2005"	20426	295516599	6.9	6.8
	"Fall"	"GRINJ-003"	"2006"	"2006"	21647	298379912	7.3	7.1
	"Fall"	"GRINJ-003"	"2007"	"2007"	23443	301231207	7.8	7.5
	"Fall"	"GRINJ-003"	"2008"	"2008"	24820	304093966	8.2	7.8
	"Fall"	"GRINJ-003"	"2009"	"2009"	25562	306771529	8.3	7.9
	"Fall"	"GRINJ-003"	"2010"	"2010"	26852	308745538	8.7	8.1
	"Fall"	"GRINJ-003"	"2011"	"2011"	28360	311591917	9.1	8.3
	"Fall"	"GRINJ-003"	"2012"	"2012"	29776	313914040	9.5	8.6
	"Fall"	"GRINJ-003"	"2013"	"2013"	31240	316128839	9.9	8.8
	"Fall"	"GRINJ-003"	"2014"	"2014"	33018	318857056	10.4	9.1
	"Fall"	"GRINJ-003"	"2015"	"2015"	34488	321418820	10.7	9.3
	"Fire/Flame"	"GRINJ-004"	"1999"	"1999"	3779	279040168	1.4	1.4
	"Fire/Flame"	"GRINJ-004"	"2000"	"2000"	3789	281421906	1.3	1.4
	"Fire/Flame"	"GRINJ-004"	"2001"	"2001"	3673	284968955	1.3	1.3
	"Fire/Flame"	"GRINJ-004"	"2002"	"2002"	3539	287625193	1.2	1.2
	"Fire/Flame"	"GRINJ-004"	"2003"	"2003"	3782	290107933	1.3	1.3
	"Fire/Flame"	"GRINJ-004"	"2004"	"2004"	3627	292805298	1.2	1.2
	"Fire/Flame"	"GRINJ-004"	"2005"	"2005"	3626	295516599	1.2	1.2
	"Fire/Flame"	"GRINJ-004"	"2006"	"2006"	3577	298379912	1.2	1.2
	"Fire/Flame"	"GRINJ-004"	"2007"	"2007"	3680	301231207	1.2	1.2
	"Fire/Flame"	"GRINJ-004"	"2008"	"2008"	3297	304093966	1.1	1.1
	"Fire/Flame"	"GRINJ-004"	"2009"	"2009"	3125	306771529	1.0	1.0
	"Fire/Flame"	"GRINJ-004"	"2010"	"2010"	3127	308745538	1.0	1.0
	"Fire/Flame"	"GRINJ-004"	"2011"	"2011"	3100	311591917	1.0	0.9
	"Fire/Flame"	"GRINJ-004"	"2012"	"2012"	2848	313914040	0.9	0.9
	"Fire/Flame"	"GRINJ-004"	"2013"	"2013"	3160	316128839	1.0	0.9
	"Fire/Flame"	"GRINJ-004"	"2014"	"2014"	3122	318857056	1.0	0.9
	"Fire/Flame"	"GRINJ-004"	"2015"	"2015"	3080	321418820	1.0	0.9
	"Hot object/Substance"	"GRINJ-005"	"1999"	"1999"	131	279040168	0.0	0.0
	"Hot object/Substance"	"GRINJ-005"	"2000"	"2000"	118	281421906	0.0	0.0
	"Hot object/Substance"	"GRINJ-005"	"2001"	"2001"	123	284968955	0.0	0.0
	"Hot object/Substance"	"GRINJ-005"	"2002"	"2002"	106	287625193	0.0	0.0
	"Hot object/Substance"	"GRINJ-005"	"2003"	"2003"	93	290107933	0.0	0.0
	"Hot object/Substance"	"GRINJ-005"	"2004"	"2004"	101	292805298	0.0	0.0
	"Hot object/Substance"	"GRINJ-005"	"2005"	"2005"	110	295516599	0.0	0.0
	"Hot object/Substance"	"GRINJ-005"	"2006"	"2006"	98	298379912	0.0	0.0
	"Hot object/Substance"	"GRINJ-005"	"2007"	"2007"	94	301231207	0.0	0.0
	"Hot object/Substance"	"GRINJ-005"	"2008"	"2008"	85	304093966	0.0	0.0
	"Hot object/Substance"	"GRINJ-005"	"2009"	"2009"	70	306771529	0.0	0.0
	"Hot object/Substance"	"GRINJ-005"	"2010"	"2010"	67	308745538	0.0	0.0
	"Hot object/Substance"	"GRINJ-005"	"2011"	"2011"	72	311591917	0.0	0.0
	"Hot object/Substance"	"GRINJ-005"	"2012"	"2012"	63	313914040	0.0	0.0
	"Hot object/Substance"	"GRINJ-005"	"2013"	"2013"	60	316128839	0.0	0.0
	"Hot object/Substance"	"GRINJ-005"	"2014"	"2014"	74	318857056	0.0	0.0
	"Hot object/Substance"	"GRINJ-005"	"2015"	"2015"	66	321418820	0.0	0.0
	"Firearm"	"GRINJ-006"	"1999"	"1999"	28575	279040168	10.2	10.2
	"Firearm"	"GRINJ-006"	"2000"	"2000"	28393	281421906	10.1	10.1
	"Firearm"	"GRINJ-006"	"2001"	"2001"	29250	284968955	10.3	10.2
	"Firearm"	"GRINJ-006"	"2002"	"2002"	29942	287625193	10.4	10.4
	"Firearm"	"GRINJ-006"	"2003"	"2003"	29789	290107933	10.3	10.2
	"Firearm"	"GRINJ-006"	"2004"	"2004"	29258	292805298	10.0	9.9
	"Firearm"	"GRINJ-006"	"2005"	"2005"	30364	295516599	10.3	10.2
	"Firearm"	"GRINJ-006"	"2006"	"2006"	30536	298379912	10.2	10.1
	"Firearm"	"GRINJ-006"	"2007"	"2007"	30873	301231207	10.2	10.1
	"Firearm"	"GRINJ-006"	"2008"	"2008"	31267	304093966	10.3	10.1
	"Firearm"	"GRINJ-006"	"2009"	"2009"	31014	306771529	10.1	10.0
	"Firearm"	"GRINJ-006"	"2010"	"2010"	31328	308745538	10.1	10.0
	"Firearm"	"GRINJ-006"	"2011"	"2011"	31897	311591917	10.2	10.1
	"Firearm"	"GRINJ-006"	"2012"	"2012"	33092	313914040	10.5	10.3
	"Firearm"	"GRINJ-006"	"2013"	"2013"	33168	316128839	10.5	10.3
	"Firearm"	"GRINJ-006"	"2014"	"2014"	33130	318857056	10.4	10.1
	"Firearm"	"GRINJ-006"	"2015"	"2015"	35763	321418820	11.1	10.9
	"Machinery"	"GRINJ-007"	"1999"	"1999"	622	279040168	0.2	0.2
	"Machinery"	"GRINJ-007"	"2000"	"2000"	676	281421906	0.2	0.2
	"Machinery"	"GRINJ-007"	"2001"	"2001"	648	284968955	0.2	0.2
	"Machinery"	"GRINJ-007"	"2002"	"2002"	652	287625193	0.2	0.2
	"Machinery"	"GRINJ-007"	"2003"	"2003"	640	290107933	0.2	0.2
	"Machinery"	"GRINJ-007"	"2004"	"2004"	795	292805298	0.3	0.3
	"Machinery"	"GRINJ-007"	"2005"	"2005"	755	295516599	0.3	0.3
	"Machinery"	"GRINJ-007"	"2006"	"2006"	740	298379912	0.2	0.2
	"Machinery"	"GRINJ-007"	"2007"	"2007"	659	301231207	0.2	0.2
	"Machinery"	"GRINJ-007"	"2008"	"2008"	693	304093966	0.2	0.2
	"Machinery"	"GRINJ-007"	"2009"	"2009"	608	306771529	0.2	0.2
	"Machinery"	"GRINJ-007"	"2010"	"2010"	590	308745538	0.2	0.2
	"Machinery"	"GRINJ-007"	"2011"	"2011"	610	311591917	0.2	0.2
	"Machinery"	"GRINJ-007"	"2012"	"2012"	627	313914040	0.2	0.2
	"Machinery"	"GRINJ-007"	"2013"	"2013"	588	316128839	0.2	0.2
	"Machinery"	"GRINJ-007"	"2014"	"2014"	605	318857056	0.2	0.2
	"Machinery"	"GRINJ-007"	"2015"	"2015"	550	321418820	0.2	0.2
	"Motor Vehicle Traffic"	"GRINJ-008"	"1999"	"1999"	40965	279040168	14.7	14.7
	"Motor Vehicle Traffic"	"GRINJ-008"	"2000"	"2000"	41994	281421906	14.9	14.9
	"Motor Vehicle Traffic"	"GRINJ-008"	"2001"	"2001"	42443	284968955	14.9	14.8
	"Motor Vehicle Traffic"	"GRINJ-008"	"2002"	"2002"	44065	287625193	15.3	15.2
	"Motor Vehicle Traffic"	"GRINJ-008"	"2003"	"2003"	43340	290107933	14.9	14.9
	"Motor Vehicle Traffic"	"GRINJ-008"	"2004"	"2004"	43432	292805298	14.8	14.7
	"Motor Vehicle Traffic"	"GRINJ-008"	"2005"	"2005"	43667	295516599	14.8	14.6
	"Motor Vehicle Traffic"	"GRINJ-008"	"2006"	"2006"	43664	298379912	14.6	14.5
	"Motor Vehicle Traffic"	"GRINJ-008"	"2007"	"2007"	42031	301231207	14.0	13.8
	"Motor Vehicle Traffic"	"GRINJ-008"	"2008"	"2008"	37985	304093966	12.5	12.3
	"Motor Vehicle Traffic"	"GRINJ-008"	"2009"	"2009"	34485	306771529	11.2	11.1
	"Motor Vehicle Traffic"	"GRINJ-008"	"2010"	"2010"	33687	308745538	10.9	10.7
	"Motor Vehicle Traffic"	"GRINJ-008"	"2011"	"2011"	33783	311591917	10.8	10.6
	"Motor Vehicle Traffic"	"GRINJ-008"	"2012"	"2012"	34935	313914040	11.1	10.9
	"Motor Vehicle Traffic"	"GRINJ-008"	"2013"	"2013"	33804	316128839	10.7	10.5
	"Motor Vehicle Traffic"	"GRINJ-008"	"2014"	"2014"	33736	318857056	10.6	10.3
	"Motor Vehicle Traffic"	"GRINJ-008"	"2015"	"2015"	36161	321418820	11.3	10.9
	"Other Pedal cyclist"	"GRINJ-009"	"1999"	"1999"	185	279040168	0.1	0.1
	"Other Pedal cyclist"	"GRINJ-009"	"2000"	"2000"	168	281421906	0.1	0.1
	"Other Pedal cyclist"	"GRINJ-009"	"2001"	"2001"	207	284968955	0.1	0.1
	"Other Pedal cyclist"	"GRINJ-009"	"2002"	"2002"	217	287625193	0.1	0.1
	"Other Pedal cyclist"	"GRINJ-009"	"2003"	"2003"	190	290107933	0.1	0.1
	"Other Pedal cyclist"	"GRINJ-009"	"2004"	"2004"	206	292805298	0.1	0.1
	"Other Pedal cyclist"	"GRINJ-009"	"2005"	"2005"	227	295516599	0.1	0.1
	"Other Pedal cyclist"	"GRINJ-009"	"2006"	"2006"	238	298379912	0.1	0.1
	"Other Pedal cyclist"	"GRINJ-009"	"2007"	"2007"	242	301231207	0.1	0.1
	"Other Pedal cyclist"	"GRINJ-009"	"2008"	"2008"	311	304093966	0.1	0.1
	"Other Pedal cyclist"	"GRINJ-009"	"2009"	"2009"	256	306771529	0.1	0.1
	"Other Pedal cyclist"	"GRINJ-009"	"2010"	"2010"	242	308745538	0.1	0.1
	"Other Pedal cyclist"	"GRINJ-009"	"2011"	"2011"	272	311591917	0.1	0.1
	"Other Pedal cyclist"	"GRINJ-009"	"2012"	"2012"	290	313914040	0.1	0.1
	"Other Pedal cyclist"	"GRINJ-009"	"2013"	"2013"	302	316128839	0.1	0.1
	"Other Pedal cyclist"	"GRINJ-009"	"2014"	"2014"	279	318857056	0.1	0.1
	"Other Pedal cyclist"	"GRINJ-009"	"2015"	"2015"	338	321418820	0.1	0.1
	"Other Pedestrian"	"GRINJ-010"	"1999"	"1999"	1502	279040168	0.5	0.5
	"Other Pedestrian"	"GRINJ-010"	"2000"	"2000"	1272	281421906	0.5	0.5
	"Other Pedestrian"	"GRINJ-010"	"2001"	"2001"	1249	284968955	0.4	0.4
	"Other Pedestrian"	"GRINJ-010"	"2002"	"2002"	1050	287625193	0.4	0.4
	"Other Pedestrian"	"GRINJ-010"	"2003"	"2003"	1040	290107933	0.4	0.4
	"Other Pedestrian"	"GRINJ-010"	"2004"	"2004"	1137	292805298	0.4	0.4
	"Other Pedestrian"	"GRINJ-010"	"2005"	"2005"	1157	295516599	0.4	0.4
	"Other Pedestrian"	"GRINJ-010"	"2006"	"2006"	1141	298379912	0.4	0.4
	"Other Pedestrian"	"GRINJ-010"	"2007"	"2007"	1138	301231207	0.4	0.4
	"Other Pedestrian"	"GRINJ-010"	"2008"	"2008"	1089	304093966	0.4	0.4
	"Other Pedestrian"	"GRINJ-010"	"2009"	"2009"	1110	306771529	0.4	0.4
	"Other Pedestrian"	"GRINJ-010"	"2010"	"2010"	1074	308745538	0.3	0.3
	"Other Pedestrian"	"GRINJ-010"	"2011"	"2011"	897	311591917	0.3	0.3
	"Other Pedestrian"	"GRINJ-010"	"2012"	"2012"	943	313914040	0.3	0.3
	"Other Pedestrian"	"GRINJ-010"	"2013"	"2013"	985	316128839	0.3	0.3
	"Other Pedestrian"	"GRINJ-010"	"2014"	"2014"	1032	318857056	0.3	0.3
	"Other Pedestrian"	"GRINJ-010"	"2015"	"2015"	959	321418820	0.3	0.3
	"Other land transport"	"GRINJ-011"	"1999"	"1999"	2090	279040168	0.7	0.7
	"Other land transport"	"GRINJ-011"	"2000"	"2000"	1662	281421906	0.6	0.6
	"Other land transport"	"GRINJ-011"	"2001"	"2001"	1493	284968955	0.5	0.5
	"Other land transport"	"GRINJ-011"	"2002"	"2002"	1333	287625193	0.5	0.5
	"Other land transport"	"GRINJ-011"	"2003"	"2003"	1716	290107933	0.6	0.6
	"Other land transport"	"GRINJ-011"	"2004"	"2004"	1537	292805298	0.5	0.5
	"Other land transport"	"GRINJ-011"	"2005"	"2005"	1710	295516599	0.6	0.6
	"Other land transport"	"GRINJ-011"	"2006"	"2006"	1647	298379912	0.6	0.5
	"Other land transport"	"GRINJ-011"	"2007"	"2007"	1800	301231207	0.6	0.6
	"Other land transport"	"GRINJ-011"	"2008"	"2008"	1728	304093966	0.6	0.6
	"Other land transport"	"GRINJ-011"	"2009"	"2009"	1581	306771529	0.5	0.5
	"Other land transport"	"GRINJ-011"	"2010"	"2010"	1524	308745538	0.5	0.5
	"Other land transport"	"GRINJ-011"	"2011"	"2011"	1541	311591917	0.5	0.5
	"Other land transport"	"GRINJ-011"	"2012"	"2012"	1467	313914040	0.5	0.5
	"Other land transport"	"GRINJ-011"	"2013"	"2013"	1521	316128839	0.5	0.5
	"Other land transport"	"GRINJ-011"	"2014"	"2014"	1591	318857056	0.5	0.5
	"Other land transport"	"GRINJ-011"	"2015"	"2015"	1625	321418820	0.5	0.5
	"Other transport"	"GRINJ-012"	"1999"	"1999"	1408	279040168	0.5	0.5
	"Other transport"	"GRINJ-012"	"2000"	"2000"	1413	281421906	0.5	0.5
	"Other transport"	"GRINJ-012"	"2001"	"2001"	1513	284968955	0.5	0.5
	"Other transport"	"GRINJ-012"	"2002"	"2002"	1273	287625193	0.4	0.4
	"Other transport"	"GRINJ-012"	"2003"	"2003"	1317	290107933	0.5	0.4
	"Other transport"	"GRINJ-012"	"2004"	"2004"	1253	292805298	0.4	0.4
	"Other transport"	"GRINJ-012"	"2005"	"2005"	1133	295516599	0.4	0.4
	"Other transport"	"GRINJ-012"	"2006"	"2006"	1188	298379912	0.4	0.4
	"Other transport"	"GRINJ-012"	"2007"	"2007"	1039	301231207	0.3	0.3
	"Other transport"	"GRINJ-012"	"2008"	"2008"	981	304093966	0.3	0.3
	"Other transport"	"GRINJ-012"	"2009"	"2009"	1006	306771529	0.3	0.3
	"Other transport"	"GRINJ-012"	"2010"	"2010"	875	308745538	0.3	0.3
	"Other transport"	"GRINJ-012"	"2011"	"2011"	1027	311591917	0.3	0.3
	"Other transport"	"GRINJ-012"	"2012"	"2012"	855	313914040	0.3	0.3
	"Other transport"	"GRINJ-012"	"2013"	"2013"	815	316128839	0.3	0.2
	"Other transport"	"GRINJ-012"	"2014"	"2014"	806	318857056	0.3	0.2
	"Other transport"	"GRINJ-012"	"2015"	"2015"	857	321418820	0.3	0.3
	"Natural/Environmental"	"GRINJ-013"	"1999"	"1999"	1923	279040168	0.7	0.7
	"Natural/Environmental"	"GRINJ-013"	"2000"	"2000"	1643	281421906	0.6	0.6
	"Natural/Environmental"	"GRINJ-013"	"2001"	"2001"	1427	284968955	0.5	0.5
	"Natural/Environmental"	"GRINJ-013"	"2002"	"2002"	1554	287625193	0.5	0.5
	"Natural/Environmental"	"GRINJ-013"	"2003"	"2003"	1420	290107933	0.5	0.5
	"Natural/Environmental"	"GRINJ-013"	"2004"	"2004"	1359	292805298	0.5	0.4
	"Natural/Environmental"	"GRINJ-013"	"2005"	"2005"	2462	295516599	0.8	0.8
	"Natural/Environmental"	"GRINJ-013"	"2006"	"2006"	1588	298379912	0.5	0.5
	"Natural/Environmental"	"GRINJ-013"	"2007"	"2007"	1449	301231207	0.5	0.5
	"Natural/Environmental"	"GRINJ-013"	"2008"	"2008"	1409	304093966	0.5	0.4
	"Natural/Environmental"	"GRINJ-013"	"2009"	"2009"	1327	306771529	0.4	0.4
	"Natural/Environmental"	"GRINJ-013"	"2010"	"2010"	1576	308745538	0.5	0.5
	"Natural/Environmental"	"GRINJ-013"	"2011"	"2011"	2193	311591917	0.7	0.7
	"Natural/Environmental"	"GRINJ-013"	"2012"	"2012"	1456	313914040	0.5	0.4
	"Natural/Environmental"	"GRINJ-013"	"2013"	"2013"	1535	316128839	0.5	0.4
	"Natural/Environmental"	"GRINJ-013"	"2014"	"2014"	1625	318857056	0.5	0.5
	"Natural/Environmental"	"GRINJ-013"	"2015"	"2015"	1579	321418820	0.5	0.4
	"Overexertion"	"GRINJ-014"	"1999"	"1999"	21	279040168	0.0	0.0
	"Overexertion"	"GRINJ-014"	"2000"	"2000"	13	281421906	0.0 (Unreliable)	0.0 (Unreliable)
	"Overexertion"	"GRINJ-014"	"2001"	"2001"	8	284968955	0.0 (Unreliable)	0.0 (Unreliable)
	"Overexertion"	"GRINJ-014"	"2002"	"2002"	10	287625193	0.0 (Unreliable)	0.0 (Unreliable)
	"Overexertion"	"GRINJ-014"	"2003"	"2003"	14	290107933	0.0 (Unreliable)	0.0 (Unreliable)
	"Overexertion"	"GRINJ-014"	"2004"	"2004"	12	292805298	0.0 (Unreliable)	0.0 (Unreliable)
	"Overexertion"	"GRINJ-014"	"2005"	"2005"	11	295516599	0.0 (Unreliable)	0.0 (Unreliable)
	"Overexertion"	"GRINJ-014"	"2006"	"2006"	13	298379912	0.0 (Unreliable)	0.0 (Unreliable)
	"Overexertion"	"GRINJ-014"	"2007"	"2007"	9	301231207	0.0 (Unreliable)	0.0 (Unreliable)
	"Overexertion"	"GRINJ-014"	"2008"	"2008"	7	304093966	0.0 (Unreliable)	0.0 (Unreliable)
