"Notes"	"State"	"State Code"	"Year"	"Year Code"	"ICD 113 Groups"	"ICD 113 Groups Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"1999"	"1999"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	116	4430141	2.6	2.6
	"Alabama"	"01"	"1999"	"1999"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	37	4430141	0.8	0.8
	"Alabama"	"01"	"1999"	"1999"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	16	4430141	0.4 (Unreliable)	0.4 (Unreliable)
	"Alabama"	"01"	"2000"	"2000"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	130	4447100	2.9	3.0
	"Alabama"	"01"	"2000"	"2000"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	47	4447100	1.1	1.1
	"Alabama"	"01"	"2000"	"2000"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	20	4447100	0.4	0.5
	"Alabama"	"01"	"2001"	"2001"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	166	4467634	3.7	3.7
	"Alabama"	"01"	"2001"	"2001"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	36	4467634	0.8	0.8
	"Alabama"	"01"	"2001"	"2001"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	13	4467634	0.3 (Unreliable)	0.3 (Unreliable)
	"Alabama"	"01"	"2002"	"2002"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	171	4480089	3.8	3.8
	"Alabama"	"01"	"2002"	"2002"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	28	4480089	0.6	0.6
	"Alabama"	"01"	"2002"	"2002"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	12	4480089	0.3 (Unreliable)	0.3 (Unreliable)
	"Alabama"	"01"	"2003"	"2003"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	155	4503491	3.4	3.5
	"Alabama"	"01"	"2003"	"2003"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	21	4503491	0.5	0.5
	"Alabama"	"01"	"2003"	"2003"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	21	4503491	0.5	0.5
	"Alabama"	"01"	"2004"	"2004"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	223	4530729	4.9	5.0
	"Alabama"	"01"	"2004"	"2004"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	42	4530729	0.9	0.9
	"Alabama"	"01"	"2004"	"2004"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	18	4530729	0.4 (Unreliable)	0.4 (Unreliable)
	"Alabama"	"01"	"2005"	"2005"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	217	4569805	4.7	4.9
	"Alabama"	"01"	"2005"	"2005"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	28	4569805	0.6	0.6
	"Alabama"	"01"	"2005"	"2005"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	38	4569805	0.8	0.9
	"Alabama"	"01"	"2006"	"2006"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	310	4628981	6.7	6.8
	"Alabama"	"01"	"2006"	"2006"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	40	4628981	0.9	0.9
	"Alabama"	"01"	"2006"	"2006"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	48	4628981	1.0	1.1
	"Alabama"	"01"	"2007"	"2007"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	424	4672840	9.1	9.2
	"Alabama"	"01"	"2007"	"2007"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	48	4672840	1.0	1.0
	"Alabama"	"01"	"2007"	"2007"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	39	4672840	0.8	0.8
	"Alabama"	"01"	"2008"	"2008"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	485	4718206	10.3	10.4
	"Alabama"	"01"	"2008"	"2008"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	47	4718206	1.0	1.0
	"Alabama"	"01"	"2008"	"2008"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	75	4718206	1.6	1.6
	"Alabama"	"01"	"2009"	"2009"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	537	4757938	11.3	11.7
	"Alabama"	"01"	"2009"	"2009"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	52	4757938	1.1	1.1
	"Alabama"	"01"	"2009"	"2009"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	38	4757938	0.8	0.8
	"Alabama"	"01"	"2010"	"2010"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	463	4779736	9.7	10.0
	"Alabama"	"01"	"2010"	"2010"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	54	4779736	1.1	1.1
	"Alabama"	"01"	"2010"	"2010"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	27	4779736	0.6	0.6
	"Alabama"	"01"	"2011"	"2011"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	485	4801108	10.1	10.3
	"Alabama"	"01"	"2011"	"2011"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	37	4801108	0.8	0.8
	"Alabama"	"01"	"2011"	"2011"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	26	4801108	0.5	0.6
