"Notes"	"Year"	"Year Code"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"1999"	"1999"	"Alabama"	"01"	"Large Central Metro"	"1"	34	662845	5.1	5.1
	"1999"	"1999"	"Alabama"	"01"	"Large Fringe Metro"	"2"	11	384595	2.9 (Unreliable)	2.8 (Unreliable)
	"1999"	"1999"	"Alabama"	"01"	"Medium Metro"	"3"	57	1133417	5.0	5.1
	"1999"	"1999"	"Alabama"	"01"	"Small Metro"	"4"	43	1089276	3.9	4.0
	"1999"	"1999"	"Alabama"	"01"	"NonCore (non-metro)"	"6"	16	649909	2.5 (Unreliable)	2.6 (Unreliable)
	"1999"	"1999"	"Alaska"	"02"	"Medium Metro"	"3"	26	317172	8.2	8.6
	"1999"	"1999"	"Alaska"	"02"	"NonCore (non-metro)"	"6"	11	179191	6.1 (Unreliable)	6.2 (Unreliable)
	"1999"	"1999"	"Arizona"	"04"	"Large Central Metro"	"1"	288	3004985	9.6	9.7
	"1999"	"1999"	"Arizona"	"04"	"Large Fringe Metro"	"2"	11	173364	6.3 (Unreliable)	6.4 (Unreliable)
	"1999"	"1999"	"Arizona"	"04"	"Medium Metro"	"3"	137	828905	16.5	17.1
	"1999"	"1999"	"Arizona"	"04"	"Small Metro"	"4"	46	700796	6.6	7.1
	"1999"	"1999"	"Arizona"	"04"	"Micropolitan (non-metro)"	"5"	26	218082	11.9	13.7
	"1999"	"1999"	"Arkansas"	"05"	"Medium Metro"	"3"	49	1088567	4.5	4.6
	"1999"	"1999"	"Arkansas"	"05"	"Small Metro"	"4"	12	354937	3.4 (Unreliable)	3.5 (Unreliable)
	"1999"	"1999"	"Arkansas"	"05"	"Micropolitan (non-metro)"	"5"	24	560262	4.3	4.4
	"1999"	"1999"	"Arkansas"	"05"	"NonCore (non-metro)"	"6"	26	597564	4.4	4.7
	"1999"	"1999"	"California"	"06"	"Large Central Metro"	"1"	1715	21630715	7.9	8.0
	"1999"	"1999"	"California"	"06"	"Large Fringe Metro"	"2"	241	4181436	5.8	5.8
	"1999"	"1999"	"California"	"06"	"Medium Metro"	"3"	518	5882063	8.8	9.2
	"1999"	"1999"	"California"	"06"	"Small Metro"	"4"	103	1013733	10.2	10.7
	"1999"	"1999"	"California"	"06"	"Micropolitan (non-metro)"	"5"	72	531290	13.6	13.2
	"1999"	"1999"	"California"	"06"	"NonCore (non-metro)"	"6"	13	259967	5.0 (Unreliable)	4.9 (Unreliable)
	"1999"	"1999"	"Colorado"	"08"	"Large Central Metro"	"1"	104	548848	18.9	18.8
	"1999"	"1999"	"Colorado"	"08"	"Large Fringe Metro"	"2"	97	1569707	6.2	6.0
	"1999"	"1999"	"Colorado"	"08"	"Medium Metro"	"3"	101	1236465	8.2	8.0
	"1999"	"1999"	"Colorado"	"08"	"Small Metro"	"4"	16	255011	6.3 (Unreliable)	6.5 (Unreliable)
	"1999"	"1999"	"Colorado"	"08"	"Micropolitan (non-metro)"	"5"	15	322102	4.7 (Unreliable)	4.3 (Unreliable)
	"1999"	"1999"	"Colorado"	"08"	"NonCore (non-metro)"	"6"	16	293885	5.4 (Unreliable)	5.5 (Unreliable)
	"1999"	"1999"	"Connecticut"	"09"	"Large Central Metro"	"1"	91	853039	10.7	10.5
	"1999"	"1999"	"Connecticut"	"09"	"Large Fringe Metro"	"2"	18	288279	6.2 (Unreliable)	6.0 (Unreliable)
	"1999"	"1999"	"Connecticut"	"09"	"Medium Metro"	"3"	186	2063755	9.0	8.9
	"1999"	"1999"	"Connecticut"	"09"	"Micropolitan (non-metro)"	"5"	15	181328	8.3 (Unreliable)	7.6 (Unreliable)
	"1999"	"1999"	"Delaware"	"10"	"Large Fringe Metro"	"2"	44	496079	8.9	8.7
	"1999"	"1999"	"District of Columbia"	"11"	"Large Central Metro"	"1"	48	570213	8.4	8.3
	"1999"	"1999"	"Florida"	"12"	"Large Central Metro"	"1"	381	5772101	6.6	6.6
	"1999"	"1999"	"Florida"	"12"	"Large Fringe Metro"	"2"	234	4246952	5.5	5.6
	"1999"	"1999"	"Florida"	"12"	"Medium Metro"	"3"	288	4223891	6.8	7.2
	"1999"	"1999"	"Florida"	"12"	"Small Metro"	"4"	50	876270	5.7	6.2
	"1999"	"1999"	"Florida"	"12"	"Micropolitan (non-metro)"	"5"	29	334956	8.7	8.3
	"1999"	"1999"	"Florida"	"12"	"NonCore (non-metro)"	"6"	15	305251	4.9 (Unreliable)	5.0 (Unreliable)
	"1999"	"1999"	"Georgia"	"13"	"Large Central Metro"	"1"	43	807365	5.3	5.3
	"1999"	"1999"	"Georgia"	"13"	"Large Fringe Metro"	"2"	128	3350497	3.8	3.8
	"1999"	"1999"	"Georgia"	"13"	"Medium Metro"	"3"	32	989998	3.2	3.3
	"1999"	"1999"	"Georgia"	"13"	"Small Metro"	"4"	32	1310689	2.4	2.5
	"1999"	"1999"	"Georgia"	"13"	"Micropolitan (non-metro)"	"5"	26	874235	3.0	3.1
	"1999"	"1999"	"Georgia"	"13"	"NonCore (non-metro)"	"6"	22	713181	3.1	3.3
