"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Drug/Alcohol Induced Causes"	"Drug/Alcohol Induced Causes Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	% of Total Deaths
	"Autauga County, AL"	"01001"	"2015"	"2015"	"All Other Causes"	"O"	513	55347	926.9	846.7	1007.1	899.3	819.9	978.8	0.0%
	"Baldwin County, AL"	"01003"	"2015"	"2015"	"Drug-Induced Causes"	"D"	43	203709	21.1	15.3	28.4	20.9	14.9	28.4	0.0%
	"Baldwin County, AL"	"01003"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	19	203709	Unreliable	5.6	14.6	Unreliable	4.6	12.7	0.0%
	"Baldwin County, AL"	"01003"	"2015"	"2015"	"All Other Causes"	"O"	2030	203709	996.5	953.2	1039.9	754.9	721.4	788.4	0.1%
	"Barbour County, AL"	"01005"	"2015"	"2015"	"All Other Causes"	"O"	293	26489	1106.1	979.5	1232.8	919.2	812.2	1026.3	0.0%
	"Bibb County, AL"	"01007"	"2015"	"2015"	"All Other Causes"	"O"	235	22583	1040.6	907.6	1173.7	942.5	820.5	1064.4	0.0%
	"Blount County, AL"	"01009"	"2015"	"2015"	"Drug-Induced Causes"	"D"	11	57673	Unreliable	9.5	34.1	Unreliable	10.2	36.7	0.0%
	"Blount County, AL"	"01009"	"2015"	"2015"	"All Other Causes"	"O"	599	57673	1038.6	955.4	1121.8	855.0	785.2	924.7	0.0%
	"Bullock County, AL"	"01011"	"2015"	"2015"	"All Other Causes"	"O"	118	10696	1103.2	904.2	1302.3	968.3	790.9	1145.6	0.0%
	"Butler County, AL"	"01013"	"2015"	"2015"	"All Other Causes"	"O"	251	20154	1245.4	1091.3	1399.5	942.1	820.3	1063.8	0.0%
	"Calhoun County, AL"	"01015"	"2015"	"2015"	"Drug-Induced Causes"	"D"	22	115620	19.0	11.9	28.8	20.6	12.9	31.2	0.0%
	"Calhoun County, AL"	"01015"	"2015"	"2015"	"All Other Causes"	"O"	1457	115620	1260.2	1195.5	1324.9	1065.4	1009.7	1121.1	0.1%
	"Chambers County, AL"	"01017"	"2015"	"2015"	"All Other Causes"	"O"	432	34123	1266.0	1146.6	1385.4	942.8	851.3	1034.3	0.0%
	"Cherokee County, AL"	"01019"	"2015"	"2015"	"All Other Causes"	"O"	335	25859	1295.5	1156.8	1434.2	934.6	830.3	1038.9	0.0%
	"Chilton County, AL"	"01021"	"2015"	"2015"	"All Other Causes"	"O"	516	43943	1174.2	1072.9	1275.6	1040.3	949.1	1131.6	0.0%
	"Choctaw County, AL"	"01023"	"2015"	"2015"	"All Other Causes"	"O"	182	13170	1381.9	1181.2	1582.7	952.0	808.0	1096.0	0.0%
	"Clarke County, AL"	"01025"	"2015"	"2015"	"All Other Causes"	"O"	269	24675	1090.2	959.9	1220.5	827.9	726.7	929.0	0.0%
	"Clay County, AL"	"01027"	"2015"	"2015"	"All Other Causes"	"O"	187	13555	1379.6	1181.8	1577.3	955.3	816.0	1094.7	0.0%
	"Cleburne County, AL"	"01029"	"2015"	"2015"	"All Other Causes"	"O"	198	15018	1318.4	1134.8	1502.1	983.5	843.6	1123.5	0.0%
	"Coffee County, AL"	"01031"	"2015"	"2015"	"All Other Causes"	"O"	498	51211	972.4	887.0	1057.9	832.9	758.9	906.8	0.0%
	"Colbert County, AL"	"01033"	"2015"	"2015"	"All Other Causes"	"O"	739	54354	1359.6	1261.6	1457.6	1008.3	933.9	1082.6	0.0%
	"Conecuh County, AL"	"01035"	"2015"	"2015"	"All Other Causes"	"O"	185	12672	1459.9	1249.5	1670.3	1020.1	867.2	1173.0	0.0%
	"Coosa County, AL"	"01037"	"2015"	"2015"	"All Other Causes"	"O"	150	10724	1398.7	1174.9	1622.6	1053.0	876.7	1229.2	0.0%
	"Covington County, AL"	"01039"	"2015"	"2015"	"All Other Causes"	"O"	539	37835	1424.6	1304.3	1544.9	981.9	896.1	1067.7	0.0%
	"Crenshaw County, AL"	"01041"	"2015"	"2015"	"All Other Causes"	"O"	176	13963	1260.5	1074.3	1446.7	958.4	813.4	1103.5	0.0%
	"Cullman County, AL"	"01043"	"2015"	"2015"	"Drug-Induced Causes"	"D"	18	82005	Unreliable	13.0	34.7	Unreliable	13.3	36.5	0.0%
	"Cullman County, AL"	"01043"	"2015"	"2015"	"Alcohol-Induced Causes"	"A"	11	82005	Unreliable	6.7	24.0	Unreliable	5.1	19.7	0.0%
	"Cullman County, AL"	"01043"	"2015"	"2015"	"All Other Causes"	"O"	978	82005	1192.6	1117.9	1267.4	965.2	903.5	1027.0	0.0%
	"Dale County, AL"	"01045"	"2015"	"2015"	"All Other Causes"	"O"	501	49565	1010.8	922.3	1099.3	877.6	799.5	955.7	0.0%
