State,State Name,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,Footnote
,Alaska,2015,January,12 month-ending,Number of Deaths,"4,034",100,0,
,Alaska,2015,February,12 month-ending,Number of Deaths,"4,084",100,0,
,Alaska,2015,March,12 month-ending,Number of Deaths,"4,101",100,0,
,Alaska,2015,April,12 month-ending,Number of Deaths,"4,133",100,0,
,Alaska,2015,May,12 month-ending,Number of Deaths,"4,196",100,0,
,Alaska,2015,June,12 month-ending,Number of Deaths,"4,201",100,0,
,Alaska,2015,July,12 month-ending,Number of Deaths,"4,220",100,0,
,Alaska,2015,August,12 month-ending,Number of Deaths,"4,222",100,0,
,Alaska,2015,September,12 month-ending,Number of Deaths,"4,242",100,0,
,Alaska,2015,October,12 month-ending,Number of Deaths,"4,241",100,0,
,Alaska,2015,November,12 month-ending,Number of Deaths,"4,219",100,0,
,Alaska,2015,December,12 month-ending,Number of Deaths,"4,193",100,0,
,Alaska,2016,January,12 month-ending,Number of Deaths,"4,213",100,0,
,Alaska,2016,February,12 month-ending,Number of Deaths,"4,198",100,0,
,Alaska,2016,March,12 month-ending,Number of Deaths,"4,230",100,0,
,Alaska,2016,April,12 month-ending,Number of Deaths,"4,262",100,0,
,Alaska,2016,May,12 month-ending,Number of Deaths,"4,241",100,0,
,Alaska,2016,June,12 month-ending,Number of Deaths,"4,261",100,0,
,Alaska,2016,July,12 month-ending,Number of Deaths,"4,269",100,0,
,Alaska,2016,August,12 month-ending,Number of Deaths,"4,276",100,0.0233863424,
,Alaska,2016,September,12 month-ending,Number of Deaths,"4,257",100,0.0469814423,
,Alaska,2016,October,12 month-ending,Number of Deaths,"4,292",100,0.0698974837,
,Alaska,2016,November,12 month-ending,Number of Deaths,"4,291",100,0.069913773,
,Alaska,2016,December,12 month-ending,Number of Deaths,"4,358",100,0.0688389169,
,Alaska,2017,January,12 month-ending,Number of Deaths,"4,376",100,0.0914076782,*Likely underreported due to incomplete data
,Alaska,2017,February,12 month-ending,Number of Deaths,"4,348",100,0.1149954002,*Likely underreported due to incomplete data
,Alaska,2017,March,12 month-ending,Number of Deaths,"4,359",100,0.1605872907,*Likely underreported due to incomplete data
,Alaska,2017,April,12 month-ending,Number of Deaths,"4,325",100,0.161849711,*Likely underreported due to incomplete data
,Alaska,2015,January,12 month-ending,Number of Drug Overdose Deaths,126,100,0,
,Alaska,2015,February,12 month-ending,Number of Drug Overdose Deaths,127,100,0,
,Alaska,2015,March,12 month-ending,Number of Drug Overdose Deaths,125,100,0,
,Alaska,2015,April,12 month-ending,Number of Drug Overdose Deaths,126,100,0,
,Alaska,2015,May,12 month-ending,Number of Drug Overdose Deaths,125,100,0,
,Alaska,2015,June,12 month-ending,Number of Drug Overdose Deaths,121,100,0,
,Alaska,2015,July,12 month-ending,Number of Drug Overdose Deaths,117,100,0,
,Alaska,2015,August,12 month-ending,Number of Drug Overdose Deaths,124,100,0,
,Alaska,2015,September,12 month-ending,Number of Drug Overdose Deaths,125,100,0,
,Alaska,2015,October,12 month-ending,Number of Drug Overdose Deaths,120,100,0,
,Alaska,2015,November,12 month-ending,Number of Drug Overdose Deaths,115,100,0,
,Alaska,2015,December,12 month-ending,Number of Drug Overdose Deaths,121,100,0,
,Alaska,2016,January,12 month-ending,Number of Drug Overdose Deaths,126,100,0,
,Alaska,2016,February,12 month-ending,Number of Drug Overdose Deaths,128,100,0,
,Alaska,2016,March,12 month-ending,Number of Drug Overdose Deaths,125,100,0,
,Alaska,2016,April,12 month-ending,Number of Drug Overdose Deaths,132,100,0,
,Alaska,2016,May,12 month-ending,Number of Drug Overdose Deaths,140,100,0,
,Alaska,2016,June,12 month-ending,Number of Drug Overdose Deaths,138,100,0,
