State,Year,Age Group,Gender,Deaths,Population,Crude Rate,rate_unreliable,code
Alabama,1999.0,25-34 years,Female,15.0,308250.0,4.9,1,AL
Alabama,1999.0,25-34 years,Male,27.0,300073.0,9.0,0,AL
Alabama,1999.0,35-44 years,Female,22.0,351301.0,6.3,0,AL
Alabama,1999.0,35-44 years,Male,29.0,335631.0,8.6,0,AL
Alabama,1999.0,45-54 years,Female,19.0,301328.0,6.3,1,AL
Alabama,1999.0,45-54 years,Male,19.0,284323.0,6.7,1,AL
Alabama,2000.0,25-34 years,Female,11.0,304983.0,3.6,1,AL
Alabama,2000.0,25-34 years,Male,28.0,297795.0,9.4,0,AL
Alabama,2000.0,35-44 years,Female,37.0,350419.0,10.6,0,AL
Alabama,2000.0,35-44 years,Male,37.0,334716.0,11.1,0,AL
Alabama,2000.0,45-54 years,Female,18.0,308255.0,5.8,1,AL
Alabama,2000.0,45-54 years,Male,17.0,291612.0,5.8,1,AL
Alabama,2001.0,20-24 years,Male,13.0,157924.0,8.2,1,AL
Alabama,2001.0,25-34 years,Female,14.0,298199.0,4.7,1,AL
Alabama,2001.0,25-34 years,Male,21.0,290750.0,7.2,0,AL
Alabama,2001.0,35-44 years,Female,37.0,346986.0,10.7,0,AL
Alabama,2001.0,35-44 years,Male,38.0,331017.0,11.5,0,AL
Alabama,2001.0,45-54 years,Female,18.0,320071.0,5.6,1,AL
Alabama,2001.0,45-54 years,Male,33.0,303384.0,10.9,0,AL
Alabama,2002.0,20-24 years,Male,14.0,160193.0,8.7,1,AL
Alabama,2002.0,25-34 years,Female,15.0,295326.0,5.1,1,AL
Alabama,2002.0,25-34 years,Male,28.0,288345.0,9.7,0,AL
Alabama,2002.0,35-44 years,Female,24.0,340884.0,7.0,0,AL
Alabama,2002.0,35-44 years,Male,38.0,325253.0,11.7,0,AL
Alabama,2002.0,45-54 years,Female,30.0,323870.0,9.3,0,AL
Alabama,2002.0,45-54 years,Male,18.0,306036.0,5.9,1,AL
Alabama,2002.0,55-64 years,Female,14.0,234530.0,6.0,1,AL
Alabama,2003.0,20-24 years,Male,15.0,163064.0,9.2,1,AL
Alabama,2003.0,25-34 years,Female,14.0,295047.0,4.7,1,AL
Alabama,2003.0,25-34 years,Male,18.0,288062.0,6.2,1,AL
Alabama,2003.0,35-44 years,Female,23.0,335121.0,6.9,0,AL
Alabama,2003.0,35-44 years,Male,40.0,320230.0,12.5,0,AL
Alabama,2003.0,45-54 years,Female,23.0,328769.0,7.0,0,AL
Alabama,2003.0,45-54 years,Male,20.0,310588.0,6.4,0,AL
Alabama,2003.0,55-64 years,Male,11.0,222255.0,4.9,1,AL
Alabama,2004.0,20-24 years,Male,32.0,163013.0,19.6,0,AL
Alabama,2004.0,25-34 years,Female,16.0,296051.0,5.4,1,AL
Alabama,2004.0,25-34 years,Male,27.0,287709.0,9.4,0,AL
Alabama,2004.0,35-44 years,Female,35.0,330674.0,10.6,0,AL
Alabama,2004.0,35-44 years,Male,49.0,317137.0,15.5,0,AL
Alabama,2004.0,45-54 years,Female,30.0,334010.0,9.0,0,AL
Alabama,2004.0,45-54 years,Male,42.0,314363.0,13.4,0,AL
Alabama,2004.0,55-64 years,Female,12.0,253296.0,4.7,1,AL
Alabama,2005.0,20-24 years,Male,25.0,163055.0,15.3,0,AL
Alabama,2005.0,25-34 years,Female,21.0,297227.0,7.1,0,AL
Alabama,2005.0,25-34 years,Male,45.0,288604.0,15.6,0,AL
Alabama,2005.0,35-44 years,Female,32.0,328389.0,9.7,0,AL
Alabama,2005.0,35-44 years,Male,46.0,314366.0,14.6,0,AL
Alabama,2005.0,45-54 years,Female,26.0,339135.0,7.7,0,AL
Alabama,2005.0,45-54 years,Male,43.0,320096.0,13.4,0,AL
Alabama,2005.0,55-64 years,Male,10.0,241277.0,4.1,1,AL
Alabama,2006.0,15-19 years,Male,11.0,172295.0,6.4,1,AL
Alabama,2006.0,20-24 years,Female,11.0,162871.0,6.8,1,AL
Alabama,2006.0,20-24 years,Male,35.0,163368.0,21.4,0,AL
Alabama,2006.0,25-34 years,Female,26.0,300430.0,8.7,0,AL
Alabama,2006.0,25-34 years,Male,63.0,290631.0,21.7,0,AL
Alabama,2006.0,35-44 years,Female,49.0,328049.0,14.9,0,AL
Alabama,2006.0,35-44 years,Male,55.0,314657.0,17.5,0,AL
Alabama,2006.0,45-54 years,Female,36.0,345733.0,10.4,0,AL
Alabama,2006.0,45-54 years,Male,48.0,326177.0,14.7,0,AL
Alabama,2006.0,55-64 years,Female,22.0,273519.0,8.0,0,AL
Alabama,2006.0,55-64 years,Male,12.0,250793.0,4.8,1,AL
Alabama,2007.0,15-19 years,Male,21.0,174268.0,12.1,0,AL
Alabama,2007.0,20-24 years,Male,35.0,163868.0,21.4,0,AL
Alabama,2007.0,25-34 years,Female,37.0,302088.0,12.2,0,AL
Alabama,2007.0,25-34 years,Male,56.0,291564.0,19.2,0,AL
Alabama,2007.0,35-44 years,Female,55.0,325948.0,16.9,0,AL
Alabama,2007.0,35-44 years,Male,88.0,313008.0,28.1,0,AL
Alabama,2007.0,45-54 years,Female,65.0,350063.0,18.6,0,AL
Alabama,2007.0,45-54 years,Male,56.0,330732.0,16.9,0,AL
Alabama,2007.0,55-64 years,Female,34.0,282783.0,12.0,0,AL
Alabama,2007.0,55-64 years,Male,25.0,259292.0,9.6,0,AL
Alabama,2008.0,15-19 years,Male,11.0,176205.0,6.2,1,AL
Alabama,2008.0,20-24 years,Female,11.0,164263.0,6.7,1,AL
Alabama,2008.0,20-24 years,Male,27.0,164488.0,16.4,0,AL
Alabama,2008.0,25-34 years,Female,47.0,304221.0,15.4,0,AL
Alabama,2008.0,25-34 years,Male,102.0,294555.0,34.6,0,AL
Alabama,2008.0,35-44 years,Female,80.0,322821.0,24.8,0,AL
Alabama,2008.0,35-44 years,Male,66.0,309813.0,21.3,0,AL
Alabama,2008.0,45-54 years,Female,96.0,353830.0,27.1,0,AL
Alabama,2008.0,45-54 years,Male,67.0,334324.0,20.0,0,AL
Alabama,2008.0,55-64 years,Female,40.0,290035.0,13.8,0,AL
Alabama,2008.0,55-64 years,Male,42.0,266305.0,15.8,0,AL
Alabama,2009.0,20-24 years,Female,15.0,166287.0,9.0,1,AL
Alabama,2009.0,20-24 years,Male,33.0,165830.0,19.9,0,AL
Alabama,2009.0,25-34 years,Female,50.0,306876.0,16.3,0,AL
Alabama,2009.0,25-34 years,Male,95.0,298675.0,31.8,0,AL
Alabama,2009.0,35-44 years,Female,86.0,319030.0,27.0,0,AL
Alabama,2009.0,35-44 years,Male,89.0,307619.0,28.9,0,AL
Alabama,2009.0,45-54 years,Female,77.0,355380.0,21.7,0,AL
Alabama,2009.0,45-54 years,Male,70.0,337354.0,20.7,0,AL
Alabama,2009.0,55-64 years,Female,39.0,298994.0,13.0,0,AL
Alabama,2009.0,55-64 years,Male,29.0,273893.0,10.6,0,AL
Alabama,2010.0,20-24 years,Female,12.0,167802.0,7.2,1,AL
Alabama,2010.0,20-24 years,Male,20.0,167520.0,11.9,0,AL
Alabama,2010.0,25-34 years,Female,44.0,308782.0,14.2,0,AL
Alabama,2010.0,25-34 years,Male,96.0,300140.0,32.0,0,AL
Alabama,2010.0,35-44 years,Female,60.0,315716.0,19.0,0,AL
Alabama,2010.0,35-44 years,Male,78.0,303785.0,25.7,0,AL
Alabama,2010.0,45-54 years,Female,82.0,356026.0,23.0,0,AL
Alabama,2010.0,45-54 years,Male,68.0,337828.0,20.1,0,AL
Alabama,2010.0,55-64 years,Female,22.0,306797.0,7.2,0,AL
Alabama,2010.0,55-64 years,Male,30.0,281236.0,10.7,0,AL
Alabama,2011.0,20-24 years,Male,34.0,172845.0,19.7,0,AL
Alabama,2011.0,25-34 years,Female,44.0,312150.0,14.1,0,AL
Alabama,2011.0,25-34 years,Male,81.0,302547.0,26.8,0,AL
Alabama,2011.0,35-44 years,Female,53.0,311986.0,17.0,0,AL
Alabama,2011.0,35-44 years,Male,78.0,298147.0,26.2,0,AL
Alabama,2011.0,45-54 years,Female,89.0,352714.0,25.2,0,AL
Alabama,2011.0,45-54 years,Male,67.0,333358.0,20.1,0,AL
Alabama,2011.0,55-64 years,Female,27.0,318760.0,8.5,0,AL
Alabama,2011.0,55-64 years,Male,29.0,291881.0,9.9,0,AL
Alabama,2011.0,65-74 years,Female,13.0,205378.0,6.3,1,AL
Alabama,2011.0,65-74 years,Male,12.0,174575.0,6.9,1,AL
Alabama,2012.0,15-19 years,Male,11.0,165425.0,6.6,1,AL
Alabama,2012.0,20-24 years,Female,11.0,176382.0,6.2,1,AL
Alabama,2012.0,20-24 years,Male,28.0,175915.0,15.9,0,AL
Alabama,2012.0,25-34 years,Female,45.0,313612.0,14.3,0,AL
Alabama,2012.0,25-34 years,Male,87.0,303651.0,28.7,0,AL
Alabama,2012.0,35-44 years,Female,51.0,311369.0,16.4,0,AL
Alabama,2012.0,35-44 years,Male,89.0,296825.0,30.0,0,AL
Alabama,2012.0,45-54 years,Female,77.0,346736.0,22.2,0,AL
Alabama,2012.0,45-54 years,Male,67.0,327879.0,20.4,0,AL
Alabama,2012.0,55-64 years,Female,27.0,321751.0,8.4,0,AL
Alabama,2012.0,55-64 years,Male,35.0,293995.0,11.9,0,AL
Alabama,2012.0,65-74 years,Male,10.0,185452.0,5.4,1,AL
Alabama,2013.0,20-24 years,Male,27.0,177789.0,15.2,0,AL
Alabama,2013.0,25-34 years,Female,55.0,315221.0,17.4,0,AL
Alabama,2013.0,25-34 years,Male,99.0,305459.0,32.4,0,AL
Alabama,2013.0,35-44 years,Female,62.0,311081.0,19.9,0,AL
Alabama,2013.0,35-44 years,Male,85.0,296319.0,28.7,0,AL
Alabama,2013.0,45-54 years,Female,70.0,341447.0,20.5,0,AL
Alabama,2013.0,45-54 years,Male,67.0,323159.0,20.7,0,AL
Alabama,2013.0,55-64 years,Female,43.0,325796.0,13.2,0,AL
Alabama,2013.0,55-64 years,Male,43.0,296872.0,14.5,0,AL
Alabama,2014.0,20-24 years,Female,11.0,175341.0,6.3,1,AL
Alabama,2014.0,20-24 years,Male,39.0,177058.0,22.0,0,AL
Alabama,2014.0,25-34 years,Female,58.0,318218.0,18.2,0,AL
Alabama,2014.0,25-34 years,Male,108.0,308304.0,35.0,0,AL
Alabama,2014.0,35-44 years,Female,75.0,310580.0,24.1,0,AL
Alabama,2014.0,35-44 years,Male,94.0,294781.0,31.9,0,AL
Alabama,2014.0,45-54 years,Female,89.0,337176.0,26.4,0,AL
Alabama,2014.0,45-54 years,Male,83.0,319038.0,26.0,0,AL
Alabama,2014.0,55-64 years,Female,67.0,329543.0,20.3,0,AL
Alabama,2014.0,55-64 years,Male,53.0,299948.0,17.7,0,AL
Alabama,2014.0,65-74 years,Female,16.0,234216.0,6.8,1,AL
Alabama,2014.0,65-74 years,Male,10.0,201012.0,5.0,1,AL
Alabama,2015.0,20-24 years,Female,20.0,170945.0,11.7,0,AL
Alabama,2015.0,20-24 years,Male,30.0,172676.0,17.4,0,AL
Alabama,2015.0,25-34 years,Female,49.0,321456.0,15.2,0,AL
Alabama,2015.0,25-34 years,Male,102.0,311270.0,32.8,0,AL
Alabama,2015.0,35-44 years,Female,74.0,309233.0,23.9,0,AL
Alabama,2015.0,35-44 years,Male,108.0,293263.0,36.8,0,AL
Alabama,2015.0,45-54 years,Female,98.0,333918.0,29.3,0,AL
Alabama,2015.0,45-54 years,Male,105.0,315524.0,33.3,0,AL
Alabama,2015.0,55-64 years,Female,52.0,334123.0,15.6,0,AL
Alabama,2015.0,55-64 years,Male,55.0,303874.0,18.1,0,AL
Alabama,2015.0,65-74 years,Male,11.0,208032.0,5.3,1,AL
Alaska,1999.0,35-44 years,Female,10.0,56817.0,17.6,1,AK
Alaska,1999.0,35-44 years,Male,10.0,60064.0,16.6,1,AK
Alaska,2000.0,35-44 years,Female,11.0,55631.0,19.8,1,AK
Alaska,2001.0,35-44 years,Female,11.0,54205.0,20.3,1,AK
Alaska,2001.0,35-44 years,Male,14.0,56799.0,24.6,1,AK
Alaska,2002.0,35-44 years,Female,19.0,52680.0,36.1,1,AK
Alaska,2002.0,35-44 years,Male,17.0,55096.0,30.9,1,AK
Alaska,2002.0,45-54 years,Female,12.0,48717.0,24.6,1,AK
Alaska,2002.0,45-54 years,Male,18.0,54127.0,33.3,1,AK
Alaska,2003.0,35-44 years,Female,16.0,51238.0,31.2,1,AK
Alaska,2003.0,35-44 years,Male,16.0,53163.0,30.1,1,AK
Alaska,2003.0,45-54 years,Male,11.0,55511.0,19.8,1,AK
Alaska,2004.0,35-44 years,Female,17.0,50313.0,33.8,1,AK
Alaska,2004.0,35-44 years,Male,10.0,52304.0,19.1,1,AK
Alaska,2004.0,45-54 years,Female,13.0,51561.0,25.2,1,AK
Alaska,2005.0,35-44 years,Female,10.0,48993.0,20.4,1,AK
Alaska,2005.0,35-44 years,Male,12.0,51602.0,23.3,1,AK
Alaska,2005.0,45-54 years,Male,16.0,57268.0,27.9,1,AK
Alaska,2006.0,35-44 years,Male,15.0,50456.0,29.7,1,AK
Alaska,2006.0,45-54 years,Male,13.0,58001.0,22.4,1,AK
Alaska,2007.0,25-34 years,Male,12.0,47787.0,25.1,1,AK
Alaska,2007.0,35-44 years,Male,11.0,49529.0,22.2,1,AK
Alaska,2007.0,45-54 years,Female,14.0,53770.0,26.0,1,AK
Alaska,2007.0,45-54 years,Male,11.0,57906.0,19.0,1,AK
Alaska,2008.0,20-24 years,Male,10.0,30307.0,33.0,1,AK
Alaska,2008.0,25-34 years,Male,16.0,49815.0,32.1,1,AK
Alaska,2008.0,35-44 years,Female,13.0,45515.0,28.6,1,AK
Alaska,2008.0,35-44 years,Male,18.0,48780.0,36.9,1,AK
Alaska,2008.0,45-54 years,Female,14.0,53660.0,26.1,1,AK
Alaska,2008.0,45-54 years,Male,24.0,57503.0,41.7,0,AK
Alaska,2009.0,25-34 years,Male,11.0,50970.0,21.6,1,AK
Alaska,2009.0,35-44 years,Male,17.0,47509.0,35.8,1,AK
Alaska,2009.0,45-54 years,Female,20.0,54045.0,37.0,0,AK
Alaska,2009.0,45-54 years,Male,25.0,58273.0,42.9,0,AK
Alaska,2009.0,55-64 years,Male,13.0,44312.0,29.3,1,AK
Alaska,2010.0,35-44 years,Female,11.0,44597.0,24.7,1,AK
