State,State Name,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,Footnote
,Connecticut,2015,January,12 month-ending,Cocaine,118,100,0.009926872,
,Connecticut,2015,February,12 month-ending,Cocaine,124,100,0.0098850044,
,Connecticut,2015,March,12 month-ending,Cocaine,124,100,0.0098370332,
,Connecticut,2015,April,12 month-ending,Cocaine,125,100,0.0098583681,
,Connecticut,2015,May,12 month-ending,Cocaine,124,100,0.0131418997,
,Connecticut,2015,June,12 month-ending,Cocaine,126,100,0.0131113151,
,Connecticut,2015,July,12 month-ending,Cocaine,133,100,0.016333464,
,Connecticut,2015,August,12 month-ending,Cocaine,134,100,0.0163671479,
,Connecticut,2015,September,12 month-ending,Cocaine,139,100,0.019636078,
,Connecticut,2015,October,12 month-ending,Cocaine,155,100,0.0163318635,
,Connecticut,2015,November,12 month-ending,Cocaine,164,100,0.0195115606,
,Connecticut,2015,December,12 month-ending,Cocaine,168,100,0.0163398693,
,Connecticut,2016,January,12 month-ending,Cocaine,171,100,0.0164646997,
,Connecticut,2016,February,12 month-ending,Cocaine,177,100,0.0165393139,
,Connecticut,2016,March,12 month-ending,Cocaine,179,100,0.0165771501,
,Connecticut,2016,April,12 month-ending,Cocaine,186,100,0.0165573879,
,Connecticut,2016,May,12 month-ending,Cocaine,195,100,0.0132459103,
,Connecticut,2016,June,12 month-ending,Cocaine,197,100,0.0165628727,
,Connecticut,2016,July,12 month-ending,Cocaine,201,100,0.0132916861,
,Connecticut,2016,August,12 month-ending,Cocaine,211,100,0.0198958782,
,Connecticut,2016,September,12 month-ending,Cocaine,223,100,0.0199408422,
,Connecticut,2016,October,12 month-ending,Cocaine,223,100,0.019896538,
,Connecticut,2016,November,12 month-ending,Cocaine,224,100,0.0198045947,
,Connecticut,2016,December,12 month-ending,Cocaine,237,100,0.0293704924,
,Connecticut,2017,January,12 month-ending,Cocaine,249,100,0.0291866649,*Likely underreported due to incomplete data
,Connecticut,2017,February,12 month-ending,Cocaine,246,100,0.0290088638,*Likely underreported due to incomplete data
,Connecticut,2017,March,12 month-ending,Cocaine,258,100,0.0482936252,*Likely underreported due to incomplete data
,Connecticut,2017,April,12 month-ending,Cocaine,266,100,0.0578759525,*Likely underreported due to incomplete data
,Connecticut,2015,January,12 month-ending,Heroin,298,100,0.009926872,
,Connecticut,2015,February,12 month-ending,Heroin,302,100,0.0098850044,
,Connecticut,2015,March,12 month-ending,Heroin,294,100,0.0098370332,
,Connecticut,2015,April,12 month-ending,Heroin,306,100,0.0098583681,
,Connecticut,2015,May,12 month-ending,Heroin,306,100,0.0131418997,
,Connecticut,2015,June,12 month-ending,Heroin,309,100,0.0131113151,
,Connecticut,2015,July,12 month-ending,Heroin,338,100,0.016333464,
,Connecticut,2015,August,12 month-ending,Heroin,341,100,0.0163671479,
,Connecticut,2015,September,12 month-ending,Heroin,353,100,0.019636078,
,Connecticut,2015,October,12 month-ending,Heroin,368,100,0.0163318635,
,Connecticut,2015,November,12 month-ending,Heroin,382,100,0.0195115606,
,Connecticut,2015,December,12 month-ending,Heroin,394,100,0.0163398693,
,Connecticut,2016,January,12 month-ending,Heroin,403,100,0.0164646997,
,Connecticut,2016,February,12 month-ending,Heroin,410,100,0.0165393139,
