State,Year,Deaths,Population,Age Adjusted Rate,aar_unreliable,code
Alabama,1999.0,169.0,4430141.0,3.8,0,AL
Alabama,2000.0,197.0,4447100.0,4.5,0,AL
Alabama,2001.0,216.0,4467634.0,4.9,0,AL
Alabama,2002.0,211.0,4480089.0,4.8,0,AL
Alabama,2003.0,197.0,4503491.0,4.4,0,AL
Alabama,2004.0,283.0,4530729.0,6.3,0,AL
Alabama,2005.0,283.0,4569805.0,6.3,0,AL
Alabama,2006.0,398.0,4628981.0,8.7,0,AL
Alabama,2007.0,511.0,4672840.0,11.1,0,AL
Alabama,2008.0,607.0,4718206.0,13.0,0,AL
Alabama,2009.0,630.0,4757938.0,13.6,0,AL
Alabama,2010.0,547.0,4779736.0,11.8,0,AL
Alabama,2011.0,552.0,4801108.0,11.8,0,AL
Alabama,2012.0,562.0,4816089.0,12.0,0,AL
Alabama,2013.0,598.0,4830533.0,12.7,0,AL
Alabama,2014.0,723.0,4846411.0,15.2,0,AL
Alabama,2015.0,736.0,4858979.0,15.6,0,AL
Alaska,1999.0,46.0,624779.0,7.5,0,AK
Alaska,2000.0,48.0,626932.0,7.1,0,AK
Alaska,2001.0,62.0,633714.0,9.4,0,AK
Alaska,2002.0,84.0,642337.0,12.2,0,AK
Alaska,2003.0,83.0,648414.0,12.7,0,AK
Alaska,2004.0,86.0,659286.0,12.7,0,AK
Alaska,2005.0,79.0,666946.0,11.4,0,AK
Alaska,2006.0,76.0,675302.0,11.1,0,AK
Alaska,2007.0,72.0,680300.0,10.1,0,AK
Alaska,2008.0,127.0,687455.0,18.1,0,AK
Alaska,2009.0,131.0,698895.0,17.8,0,AK
Alaska,2010.0,83.0,710231.0,11.6,0,AK
Alaska,2011.0,107.0,722720.0,14.3,0,AK
Alaska,2012.0,129.0,731228.0,17.5,0,AK
Alaska,2013.0,105.0,737442.0,14.3,0,AK
Alaska,2014.0,124.0,737046.0,16.8,0,AK
Alaska,2015.0,122.0,738432.0,16.0,0,AK
Arizona,1999.0,511.0,5023823.0,10.5,0,AZ
Arizona,2000.0,522.0,5130632.0,10.6,0,AZ
Arizona,2001.0,552.0,5273477.0,10.9,0,AZ
Arizona,2002.0,624.0,5396255.0,12.0,0,AZ
Arizona,2003.0,674.0,5510364.0,12.7,0,AZ
Arizona,2004.0,744.0,5652404.0,13.7,0,AZ
Arizona,2005.0,794.0,5839077.0,14.1,0,AZ
Arizona,2006.0,876.0,6029141.0,14.9,0,AZ
Arizona,2007.0,943.0,6167681.0,15.7,0,AZ
Arizona,2008.0,828.0,6280362.0,13.5,0,AZ
Arizona,2009.0,1002.0,6343154.0,16.1,0,AZ
Arizona,2010.0,1098.0,6392017.0,17.5,0,AZ
Arizona,2011.0,1071.0,6468732.0,16.9,0,AZ
Arizona,2012.0,1134.0,6553262.0,17.7,0,AZ
Arizona,2013.0,1222.0,6630799.0,18.7,0,AZ
Arizona,2014.0,1211.0,6728783.0,18.2,0,AZ
Arizona,2015.0,1274.0,6828065.0,19.0,0,AZ
Arkansas,1999.0,113.0,2651860.0,4.4,0,AR
Arkansas,2000.0,140.0,2673400.0,5.4,0,AR
Arkansas,2001.0,126.0,2691571.0,4.8,0,AR
Arkansas,2002.0,176.0,2705927.0,6.8,0,AR
Arkansas,2003.0,184.0,2724816.0,7.0,0,AR
Arkansas,2004.0,230.0,2749686.0,8.6,0,AR
Arkansas,2005.0,269.0,2781097.0,10.1,0,AR
Arkansas,2006.0,285.0,2821761.0,10.5,0,AR
Arkansas,2007.0,301.0,2848650.0,10.9,0,AR
Arkansas,2008.0,360.0,2874554.0,13.1,0,AR
Arkansas,2009.0,351.0,2896843.0,12.6,0,AR
Arkansas,2010.0,350.0,2915918.0,12.5,0,AR
Arkansas,2011.0,355.0,2938538.0,12.6,0,AR
Arkansas,2012.0,373.0,2949499.0,13.1,0,AR
Arkansas,2013.0,319.0,2957957.0,11.1,0,AR
Arkansas,2014.0,356.0,2966835.0,12.6,0,AR
Arkansas,2015.0,392.0,2978204.0,13.8,0,AR
California,1999.0,2662.0,33499204.0,8.1,0,CA
California,2000.0,1941.0,33871648.0,5.8,0,CA
California,2001.0,1226.0,34479458.0,3.6,0,CA
California,2002.0,2975.0,34871843.0,8.7,0,CA
California,2003.0,3108.0,35253159.0,8.9,0,CA
