Year,State,2013 Urbanization,2013 Urbanization Code,Deaths,Population,Age Adjusted Rate,aar_unreliable,urb_code
1999.0,Alabama,Large Central Metro,1.0,34.0,662845.0,5.1,0,"[1.0, 'Large Central Metro']"
1999.0,Alabama,Large Fringe Metro,2.0,11.0,384595.0,2.8,1,"[2.0, 'Large Fringe Metro']"
1999.0,Alabama,Medium Metro,3.0,57.0,1133417.0,5.1,0,"[3.0, 'Medium Metro']"
1999.0,Alabama,Small Metro,4.0,43.0,1089276.0,4.0,0,"[4.0, 'Small Metro']"
1999.0,Alabama,NonCore (non-metro),6.0,16.0,649909.0,2.6,1,"[6.0, 'NonCore (non-metro)']"
1999.0,Alaska,Medium Metro,3.0,26.0,317172.0,8.6,0,"[3.0, 'Medium Metro']"
1999.0,Alaska,NonCore (non-metro),6.0,11.0,179191.0,6.2,1,"[6.0, 'NonCore (non-metro)']"
1999.0,Arizona,Large Central Metro,1.0,288.0,3004985.0,9.7,0,"[1.0, 'Large Central Metro']"
1999.0,Arizona,Large Fringe Metro,2.0,11.0,173364.0,6.4,1,"[2.0, 'Large Fringe Metro']"
1999.0,Arizona,Medium Metro,3.0,137.0,828905.0,17.1,0,"[3.0, 'Medium Metro']"
1999.0,Arizona,Small Metro,4.0,46.0,700796.0,7.1,0,"[4.0, 'Small Metro']"
1999.0,Arizona,Micropolitan (non-metro),5.0,26.0,218082.0,13.7,0,"[5.0, 'Micropolitan (non-metro)']"
1999.0,Arkansas,Medium Metro,3.0,49.0,1088567.0,4.6,0,"[3.0, 'Medium Metro']"
1999.0,Arkansas,Small Metro,4.0,12.0,354937.0,3.5,1,"[4.0, 'Small Metro']"
1999.0,Arkansas,Micropolitan (non-metro),5.0,24.0,560262.0,4.4,0,"[5.0, 'Micropolitan (non-metro)']"
1999.0,Arkansas,NonCore (non-metro),6.0,26.0,597564.0,4.7,0,"[6.0, 'NonCore (non-metro)']"
1999.0,California,Large Central Metro,1.0,1715.0,21630715.0,8.0,0,"[1.0, 'Large Central Metro']"
1999.0,California,Large Fringe Metro,2.0,241.0,4181436.0,5.8,0,"[2.0, 'Large Fringe Metro']"
1999.0,California,Medium Metro,3.0,518.0,5882063.0,9.2,0,"[3.0, 'Medium Metro']"
1999.0,California,Small Metro,4.0,103.0,1013733.0,10.7,0,"[4.0, 'Small Metro']"
1999.0,California,Micropolitan (non-metro),5.0,72.0,531290.0,13.2,0,"[5.0, 'Micropolitan (non-metro)']"
1999.0,California,NonCore (non-metro),6.0,13.0,259967.0,4.9,1,"[6.0, 'NonCore (non-metro)']"
1999.0,Colorado,Large Central Metro,1.0,104.0,548848.0,18.8,0,"[1.0, 'Large Central Metro']"
1999.0,Colorado,Large Fringe Metro,2.0,97.0,1569707.0,6.0,0,"[2.0, 'Large Fringe Metro']"
1999.0,Colorado,Medium Metro,3.0,101.0,1236465.0,8.0,0,"[3.0, 'Medium Metro']"
1999.0,Colorado,Small Metro,4.0,16.0,255011.0,6.5,1,"[4.0, 'Small Metro']"
1999.0,Colorado,Micropolitan (non-metro),5.0,15.0,322102.0,4.3,1,"[5.0, 'Micropolitan (non-metro)']"
1999.0,Colorado,NonCore (non-metro),6.0,16.0,293885.0,5.5,1,"[6.0, 'NonCore (non-metro)']"
1999.0,Connecticut,Large Central Metro,1.0,91.0,853039.0,10.5,0,"[1.0, 'Large Central Metro']"
1999.0,Connecticut,Large Fringe Metro,2.0,18.0,288279.0,6.0,1,"[2.0, 'Large Fringe Metro']"
1999.0,Connecticut,Medium Metro,3.0,186.0,2063755.0,8.9,0,"[3.0, 'Medium Metro']"
1999.0,Connecticut,Micropolitan (non-metro),5.0,15.0,181328.0,7.6,1,"[5.0, 'Micropolitan (non-metro)']"
1999.0,Delaware,Large Fringe Metro,2.0,44.0,496079.0,8.7,0,"[2.0, 'Large Fringe Metro']"
1999.0,District of Columbia,Large Central Metro,1.0,48.0,570213.0,8.3,0,"[1.0, 'Large Central Metro']"
